"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11624","Баг с изменением количества товаров на странице","chromium","Fri Jul 11 09:55:44 GMT 2025","passed","Fri Jul 11 09:55:55 GMT 2025","","bugs.spec.js","",""
"","4090","Баг с размером изображения в карточке товара","chromium","Fri Jul 11 09:55:39 GMT 2025","passed","Fri Jul 11 09:55:43 GMT 2025","","bugs.spec.js","",""
"","4194","Баг с некорректным описанием товара","chromium","Fri Jul 11 09:56:08 GMT 2025","passed","Fri Jul 11 09:56:12 GMT 2025","","bugs.spec.js","",""
"","12412","Баг с отправкой комментария в карточке товара","chromium","Fri Jul 11 09:55:55 GMT 2025","passed","Fri Jul 11 09:56:08 GMT 2025","","bugs.spec.js","",""
"","5450","Баг с фильтрацией по цене","chromium","Fri Jul 11 09:56:12 GMT 2025","passed","Fri Jul 11 09:56:17 GMT 2025","","bugs.spec.js","",""
