"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3693","Баг с размером изображения в карточке товара","chromium","Fri Jul 11 09:58:51 GMT 2025","passed","Fri Jul 11 09:58:55 GMT 2025","","bugs.spec.js","",""
"","11532","Баг с изменением количества товаров на странице","chromium","Fri Jul 11 09:58:55 GMT 2025","passed","Fri Jul 11 09:59:07 GMT 2025","","bugs.spec.js","",""
"","4682","Баг с фильтрацией по цене","chromium","Fri Jul 11 09:59:23 GMT 2025","passed","Fri Jul 11 09:59:27 GMT 2025","","bugs.spec.js","",""
"","12711","Баг с отправкой комментария в карточке товара","chromium","Fri Jul 11 09:59:07 GMT 2025","passed","Fri Jul 11 09:59:19 GMT 2025","","bugs.spec.js","",""
"","3428","Баг с некорректным описанием товара","chromium","Fri Jul 11 09:59:19 GMT 2025","passed","Fri Jul 11 09:59:23 GMT 2025","","bugs.spec.js","",""
